id,refseq,gene
YP_001798599.1,YP_001798599,cce_5219
YP_001798600.1,YP_001798600,cce_5220
YP_001798602.1,YP_001798602,cce_5222
YP_001798603.1,YP_001798603,cce_5223
YP_001798605.1,YP_001798605,cce_5225
YP_001798606.1,YP_001798606,cce_5226
YP_001798607.1,YP_001798607,cce_5227
YP_001798610.1,YP_001798610,cce_5230
YP_001798611.1,YP_001798611,cce_5231
YP_001798612.1,YP_001798612,cce_5232
YP_001798613.1,YP_001798613,cce_5233
YP_001798614.1,YP_001798614,cce_5234
YP_001798616.1,YP_001798616,cce_5236
YP_001798617.1,YP_001798617,cce_5237
YP_001798618.1,YP_001798618,cce_5238
YP_001798619.1,YP_001798619,cce_5239
YP_001798620.1,YP_001798620,cce_5240
YP_001798621.1,YP_001798621,cce_5241
YP_001798625.1,YP_001798625,cce_5245
YP_001798626.1,YP_001798626,cce_5246
YP_001798627.1,YP_001798627,cce_5247
YP_001798629.1,YP_001798629,cce_5249
YP_001798630.1,YP_001798630,cce_5250
YP_001798631.1,YP_001798631,cce_5251
YP_001798632.1,YP_001798632,cce_5252
YP_001798635.1,YP_001798635,cce_5255
YP_001798656.1,YP_001798656,cce_5256
YP_001798657.1,YP_001798657,cce_5257
YP_001798658.1,YP_001798658,cce_5258
YP_001798659.1,YP_001798659,cce_5259
YP_001798660.1,YP_001798660,cce_5260
YP_001798661.1,YP_001798661,cce_5261
YP_001798663.1,YP_001798663,cce_5263
YP_001798665.1,YP_001798665,cce_5265
YP_001798666.1,YP_001798666,cce_5266
YP_001798667.1,YP_001798667,cce_5267
YP_001798668.1,YP_001798668,cce_5268
YP_001798669.1,YP_001798669,cce_5269
YP_001798671.1,YP_001798671,cce_5271
YP_001798672.1,YP_001798672,cce_5272
YP_001798674.1,YP_001798674,cce_5274
YP_001798677.1,YP_001798677,cce_5277
YP_001798679.1,YP_001798679,cce_5279
YP_001798680.1,YP_001798680,cce_5280
YP_001798681.1,YP_001798681,cce_5281
YP_001798682.1,YP_001798682,cce_5282
YP_001798683.1,YP_001798683,cce_5283
YP_001798685.1,YP_001798685,cce_5285
YP_001798688.1,YP_001798688,cce_5288
YP_001798689.1,YP_001798689,cce_5289
YP_001798690.1,YP_001798690,cce_5290
YP_001798692.1,YP_001798692,cce_5292
YP_001798694.1,YP_001798694,cce_5294
YP_001798695.1,YP_001798695,cce_5295
YP_001798697.1,YP_001798697,cce_5297
YP_001798698.1,YP_001798698,cce_5298
YP_001798699.1,YP_001798699,cce_5299
YP_001798700.1,YP_001798700,cce_5300
YP_001798701.1,YP_001798701,cce_5301
YP_001798702.1,YP_001798702,cce_5302
YP_001798704.1,YP_001798704,cce_5304
YP_001798705.1,YP_001798705,cce_5305
YP_001798706.1,YP_001798706,cce_5306
YP_001798707.1,YP_001798707,cce_5307
YP_001798708.1,YP_001798708,cce_5308
YP_001798710.1,YP_001798710,cce_5310
YP_001801419.1,YP_001801419,cce_0001
YP_001801420.1,YP_001801420,cce_0002
YP_001801421.1,YP_001801421,cce_0003
YP_001801422.1,YP_001801422,cce_0004
YP_001801424.1,YP_001801424,cce_0006
YP_001801425.1,YP_001801425,cce_0007
YP_001801427.1,YP_001801427,cce_0009
YP_001801428.1,YP_001801428,cce_0010
YP_001801430.1,YP_001801430,cce_0012
YP_001801431.1,YP_001801431,cce_0013
YP_001801433.1,YP_001801433,cce_0015
YP_001801434.1,YP_001801434,cce_0016
YP_001801436.1,YP_001801436,cce_0018
YP_001801437.1,YP_001801437,cce_0019
YP_001801438.1,YP_001801438,cce_0020
YP_001801439.1,YP_001801439,cce_0021
YP_001801440.1,YP_001801440,cce_0022
YP_001801441.1,YP_001801441,cce_0023
YP_001801444.1,YP_001801444,cce_0026
YP_001801446.1,YP_001801446,cce_0028
YP_001801447.1,YP_001801447,cce_0029
YP_001801449.1,YP_001801449,cce_0031
YP_001801450.1,YP_001801450,cce_0032
YP_001801452.1,YP_001801452,cce_0034
YP_001801453.1,YP_001801453,cce_0035
YP_001801455.1,YP_001801455,cce_0037
YP_001801456.1,YP_001801456,cce_0038
YP_001801458.1,YP_001801458,cce_0040
YP_001801459.1,YP_001801459,cce_0041
YP_001801460.1,YP_001801460,cce_0042
YP_001801461.1,YP_001801461,cce_0043
YP_001801462.1,YP_001801462,cce_0044
YP_001801463.1,YP_001801463,cce_0045
