geneset,in_path,out_path,in_back,out_back,foldx,pvalue,bonferroni_pvalue,bh_pvalue,link,desc
cyt01100,25,38,431,3217,3.3587448900674,2.5057689562491e-08,2.70623047274902e-06,9.85664830984412e-07,http=//www.genome.jp/kegg/pathway/CYT/cyt01100.html,"Metabolic pathways - Cyanothece sp. ATCC 51142"
cyt01110,16,47,172,3476,5.38648947951273,4.48029468629278e-08,4.8387182611962e-06,9.85664830984412e-07,http=//www.genome.jp/kegg/pathway/CYT/cyt01110.html,"Biosynthesis of secondary metabolites - Cyanothece sp. ATCC 51142"
cyt01120,12,51,90,3558,7.72063492063492,8.06518306970446e-08,8.71039771528082e-06,1.18289351688999e-06,http=//www.genome.jp/kegg/pathway/CYT/cyt01120.html,"Microbial metabolism in diverse environments - Cyanothece sp. ATCC 51142"
cyt01200,9,54,51,3597,10.218487394958,4.8866261791027e-07,5.27755627343092e-05,5.37528879701297e-06,http=//www.genome.jp/kegg/pathway/CYT/cyt01200.html,"Carbon metabolism - Cyanothece sp. ATCC 51142"
cyt00020,3,60,6,3642,28.952380952381,0.000364293554383367,0.0393437038734037,0.00320578327857363,http=//www.genome.jp/kegg/pathway/CYT/cyt00020.html,"Citrate cycle (TCA cycle) - Cyanothece sp. ATCC 51142"
cyt01210,3,60,9,3639,19.3015873015873,0.000919930828263545,0.0993525294524629,0.006746159407266,http=//www.genome.jp/kegg/pathway/CYT/cyt01210.html,"2-Oxocarboxylic acid metabolism - Cyanothece sp. ATCC 51142"
cyt00630,3,60,11,3637,15.7922077922078,0.00148556207277738,0.160440703859957,0.00915821712697073,http=//www.genome.jp/kegg/pathway/CYT/cyt00630.html,"Glyoxylate and dicarboxylate metabolism - Cyanothece sp. ATCC 51142"
cyt00450,2,61,2,3646,57.9047619047619,0.00166513038672195,0.179834081765971,0.00915821712697073,http=//www.genome.jp/kegg/pathway/CYT/cyt00450.html,"Selenocompound metabolism - Cyanothece sp. ATCC 51142"
cyt00650,2,61,3,3645,38.6031746031746,0.00274486115863318,0.296445005132384,0.0134193212199844,http=//www.genome.jp/kegg/pathway/CYT/cyt00650.html,"Butanoate metabolism - Cyanothece sp. ATCC 51142"
cyt00970,3,60,17,3631,10.218487394958,0.00432660059397022,0.467272864148784,0.019037042613469,http=//www.genome.jp/kegg/pathway/CYT/cyt00970.html,"Aminoacyl-tRNA biosynthesis - Cyanothece sp. ATCC 51142"
cyt01230,5,58,64,3584,4.52380952380952,0.0058566061905812,0.63251346858277,0.0234264247623248,http=//www.genome.jp/kegg/pathway/CYT/cyt01230.html,"Biosynthesis of amino acids - Cyanothece sp. ATCC 51142"
cyt00680,3,60,20,3628,8.68571428571429,0.00648236646258702,0.700095577959399,0.0237686770294857,http=//www.genome.jp/kegg/pathway/CYT/cyt00680.html,"Methane metabolism - Cyanothece sp. ATCC 51142"
